HULL NO.,SHIP'S NAME,COMPANY,COUNTRY,DWT DATE,CLASS,DIMENSIONS (LBP×B×D×d),LBP,B,D,d,MAIN ENGINE,SPEED (KT),DELIVERY
,NIDIA,GLENCORE,U. K.,70000,DNV,219.00/32.20/20.40/12.20M,,,,,HYUNDAI-B&W 6S60MC-C,15.5,03. 08. 19
,TORM ESTRID,A/S DAMPSKIBSSELSKABET TORM,DENMARK,75000,LR,219.00/32.20/20.90/12.80M,,,,,HYUNDAI-B&W 6S60MC-C,16,04. 01. 27
,TORM ANNA,REDERIAKTIEBOLAGET GOTLAND,SWEDEN,75000,LR,219.00/32.20/20.90/12.80M,,,,,HYUNDAI-B&W 6S60MC-C,16,04. 02. 20
,ALONISSOS,ELETSON CORPORATION,GREECE,105000,LR,234.00/42.00/21.00/13.60M,,,,,HYUNDAI-B&W 6S60MC-C,15.1,04. 03. 02
,NORDVENUS,"REEDEREI ""NORD"" KLAUS E. OLDENDORFF LTD.",CYPRUS,75000,LR,219.00/32.20/20.90/12.80M,,,,,HYUNDAI-B&W 6S60MC-C,16,04. 03. 26
,NORDMARS,"REEDEREI ""NORD"" KLAUS E. OLDENDORFF LTD.",CYPRUS,75000,LR,219.00/32.20/20.90/12.80M,,,,,HYUNDAI-B&W 6S60MC-C,16,04. 04. 08
,NORDNEPTUN,"REEDEREI ""NORD"" KLAUS E. OLDENDORFF LTD.",CYPRUS,75000,LR,219.00/32.20/20.90/12.80M,,,,,HYUNDAI-B&W 6S60MC-C,16,04. 04. 26
,NORDMERKUR,"REEDEREI ""NORD"" KLAUS E. OLDENDORFF LTD.",CYPRUS,75000,LR,219.00/32.20/20.90/12.80M,,,,,HYUNDAI-B&W 6S60MC-C,16,04. 05. 06
,MEGALONISSOS,ELETSON CORPORATION,GREECE,105000,LR,234.00/42.00/21.00/13.60M,,,,,HYUNDAI-B&W 6S60MC-C,15.1,04. 05. 18
,CENITO,L.G.R DI NAVIGAZIONE S.P.A.,ITALY,75000,LR,219.00/32.20/20.90/12.80M,,,,,HYUNDAI-B&W 6S60MC-C,16,04. 06. 09
,TORM ISMINI,A/S DAMPSKIBSSELSKABET TORM,DENMARK,75000,LR,219.00/32.20/20.90/12.80M,,,,,HYUNDAI-B&W 6S60MC-C,16,04. 06. 30
,RUDOLF SCHULTE,BERNHARD SCHULTE,GERMANY,75000,LR,219.00/32.20/20.90/12.80M,,,,,HYUNDAI-B&W 6S60MC-C,16,04. 08. 12
,EVERHARD SCHULTE,BERNHARD SCHULTE,GERMANY,75000,LR,219.00/32.20/20.90/12.80M,,,,,HYUNDAI-B&W 6S60MC-C,16,04. 09. 08
,PHOENIX DREAM,MITSUI O.S.K LINES LTD.,JAPAN,105000,NK,234.00/42.00/21.00/13.60M,,,,,HYUNDAI-B&W 6S60MC-C,15.1,05. 01. 10
,GULF PEARL,GULF ENERGY MARITIME(GEM) PJSC,UAE,75000,LR,219.00/32.20/20.90/12.80M,,,,,HYUNDAI-B&W 6S60MC-C,16,05. 04. 25
,GULF HORIZON,GULF ENERGY MARITIME(GEM) PJSC,UAE,75000,LR,219.00/32.20/20.90/12.80M,,,,,HYUNDAI-B&W 6S60MC-C,16,05. 07. 04
,GULF STREAM,GULF ENERGY MARITIME(GEM) PJSC,UAE,75000,LR,219.00/32.20/20.90/12.80M,,,,,HYUNDAI-B&W 6S60MC-C,16,05. 09. 23
,GULF COAST,GULF ENERGY MARITIME(GEM) PJSC,UAE,75000,LR,219.00/32.20/20.90/12.80M,,,,,HYUNDAI-B&W 6S60MC-C,16,05. 11. 07
,PROTEAS,TSAKOS SHIPPING AND TRADING S.A.,GREECE,116000,BV,239.00/44.00/22.70/15.40M,,,,,HYUNDAI-B&W 7S60MC-C,15.1,06. 05. 25
,PROMITHEAS,TSAKOS SHIPPING AND TRADING S.A.,GREECE,116000,BV,239.00/44.00/22.70/15.40M,,,,,HYUNDAI-B&W 7S60MC-C,15.1,06. 08. 07
,PROPONTIS,TSAKOS SHIPPING AND TRADING S.A.,GREECE,116000,BV,239.00/44.00/22.70/15.40M,,,,,HYUNDAI-B&W 7S60MC-C,15.1,06. 10. 12
,DONEGAL SPIRIT,TEEKAY SHIPPING (CANADA) LTD.,CANADA,105000,DNV,234.00/42.00/21.00/14.90M,,,,,HYUNDAI-B&W 6S60MC-C,14.6,06. 11. 10
,GALWAY SPIRIT,TEEKAY CORPORATION,CANADA,105000,DNV,234.00/42.00/21.00/14.90M,,,,,HYUNDAI-B&W 6S60MC-C,14.9,07. 01. 03
,LIMERICK,TEEKAY CORPORATION,CANADA,105000,DNV,234.00/42.00/21.00/14.90M,,,,,HYUNDAI-B&W 6S60MC-C,14.9,07. 02. 09
,POLAR MARINER,INTERORIENT,CYPRUS,116000,DNV,240.97/44.00/22.70/14.60M,,,,,HYUNDAI-B&W 7S60MC-C,16.8,07. 03. 19
,POLAR MERCHANT,INTERORIENT,CYPRUS,116000,DNV,240.97/44.00/22.70/14.60M,,,,,HYUNDAI-B&W 7S60MC-C,16.8,07. 03. 26
,RATNA SHRUTI,"INDIA STEAMSHIP CO., LTD.",INDIA,105000,ABS,234.00/42.00/21.00/14.90M,,,,,HYUNDAI-B&W 6S60MC-C,15,08. 04. 25
,RATNA SHRADHA,"INDIA STEAMSHIP CO., LTD.",INDIA,105000,ABS,234.00/42.00/21.00/14.90M,,,,,HYUNDAI-B&W 6S60MC-C,15,08. 06. 09
,RATNA NAMRATA,"INDIA STEAMSHIP CO., LTD.",INDIA,105000,ABS,234.00/42.00/21.00/14.90M,,,,,HYUNDAI-B&W 6S60MC-C,15,08. 07. 18
,PRO ALLIANCE,"SK SHIPPING CO., LTD.",KOREA,105000,ABS,234.00/42.00/21.00/14.90M,,,,,HYUNDAI-B&W 6S60MC-C,15,08. 09. 10
,ALBURAQ,ARAB MARITIME PETROLEUM TRANSPORT CO.,KUWAIT,112000,ABS,239.00/44.00/21.00/13.60M,,,,,HYUNDAI-B&W 7S60MC,15,08. 10. 06
,ARCTIC GALAXY,EMIRATES TRADING AGENCY,U.A.E.,105000,ABS,234.00/42.00/21.00/14.90M,,,,,HYUNDAI-B&W 6S60MC-C,15,08.10. 20
